epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7114,4.58766,43.4821,3.22812,0.0001,0.0211,6e-05,1e-05,3.30769,9.19511,2.17332,0.000654321,0.000654321,0.000654321
2,79.8005,2.87711,4.3313,1.76142,0.46943,0.11392,0.16214,0.05099,2.57026,5.21033,1.66269,0.00131663,0.00131663,0.00131663
3,113.453,2.55202,3.0436,1.46673,0.00379,0.36287,0.00246,0.00097,2.59194,nan,3.76277,0.00197454,0.00197454,0.00197454
4,154.249,2.31575,2.65325,1.35132,0.10931,0.56962,0.08656,0.03162,2.15432,13.6867,1.35771,0.0019802,0.0019802,0.0019802
5,193.91,2.27861,2.30264,1.28019,0.61192,0.61873,0.51391,0.18272,2.06443,2.19411,1.23855,0.0019736,0.0019736,0.0019736
6,243.044,2.16909,2.03417,1.26218,0.45242,0.62025,0.38553,0.14724,1.959,3.24511,1.19574,0.001967,0.001967,0.001967
7,293.395,2.13136,1.87902,1.19029,0.57342,0.62025,0.54311,0.20415,2.02244,1.84594,1.18521,0.0019604,0.0019604,0.0019604
8,350.556,2.09979,1.78242,1.18751,0.66728,0.7173,0.66074,0.24754,1.89203,1.49973,1.15493,0.0019538,0.0019538,0.0019538
9,408.259,2.02787,1.67474,1.16971,0.72183,0.63713,0.6996,0.26658,1.98095,1.34576,1.14761,0.0019472,0.0019472,0.0019472
10,466.136,1.95692,1.50106,1.13728,0.7302,0.70464,0.70529,0.26622,1.9744,1.20261,1.15116,0.0019406,0.0019406,0.0019406
11,523.662,2.0139,1.49712,1.16152,0.78344,0.67932,0.7354,0.31126,1.87194,1.67663,1.11285,0.001934,0.001934,0.001934
12,581.599,1.95236,1.4171,1.132,0.76599,0.71822,0.72271,0.28605,1.94116,1.48429,1.14675,0.0019274,0.0019274,0.0019274
13,639.111,1.97947,1.36389,1.12798,0.71195,0.67089,0.70402,0.31238,1.83478,1.22815,1.09867,0.0019208,0.0019208,0.0019208
14,696.798,1.88221,1.28855,1.1021,0.77504,0.74262,0.75299,0.30188,1.85767,1.25344,1.12312,0.0019142,0.0019142,0.0019142
15,754.261,1.87062,1.29064,1.12009,0.77175,0.75949,0.78853,0.30842,1.83755,1.22735,1.08715,0.0019076,0.0019076,0.0019076
16,792.537,1.90208,1.26127,1.09588,0.76287,0.6962,0.76008,0.30391,1.85336,1.26005,1.08378,0.001901,0.001901,0.001901
17,825.512,1.87873,1.19755,1.10672,0.75908,0.75778,0.76972,0.32986,1.79471,1.12023,1.07945,0.0018944,0.0018944,0.0018944
18,858.737,1.83278,1.18668,1.09054,0.79037,0.72996,0.78058,0.34237,1.76527,1.23285,1.07266,0.0018878,0.0018878,0.0018878
19,892.092,1.90172,1.19432,1.09999,0.73503,0.72574,0.77587,0.32266,1.8151,1.13166,1.08297,0.0018812,0.0018812,0.0018812
20,925.294,1.83974,1.18867,1.10006,0.64278,0.71367,0.67308,0.26794,1.82768,1.5439,1.08458,0.0018746,0.0018746,0.0018746
21,958.665,1.87562,1.19494,1.1038,0.7583,0.77637,0.79109,0.33024,1.76421,1.17531,1.06192,0.001868,0.001868,0.001868
22,991.841,1.86211,1.14186,1.09631,0.768,0.75428,0.77732,0.32636,1.81351,1.07298,1.0788,0.0018614,0.0018614,0.0018614
23,1025.3,1.83147,1.13676,1.08381,0.75697,0.69198,0.71775,0.30771,1.73336,1.31823,1.04831,0.0018548,0.0018548,0.0018548
24,1058.79,1.82455,1.11408,1.06542,0.76608,0.77637,0.80588,0.34948,1.77034,1.02492,1.04791,0.0018482,0.0018482,0.0018482
25,1092.5,1.8286,1.14214,1.08153,0.78684,0.77215,0.7875,0.32572,1.77143,1.0673,1.05977,0.0018416,0.0018416,0.0018416
26,1125.88,1.85659,1.11151,1.08109,0.78116,0.70886,0.74939,0.32865,1.83521,1.64776,1.09183,0.001835,0.001835,0.001835
27,1159.03,1.78307,1.05137,1.06402,0.73856,0.75949,0.77997,0.33059,1.82106,1.33042,1.07372,0.0018284,0.0018284,0.0018284
28,1192.17,1.8098,1.07668,1.07345,0.8022,0.79325,0.80013,0.35205,1.70713,1.05424,1.03827,0.0018218,0.0018218,0.0018218
29,1225.97,1.79136,1.08856,1.06979,0.75785,0.75527,0.76885,0.33248,1.73221,1.10967,1.05573,0.0018152,0.0018152,0.0018152
30,1258.84,1.74995,1.03993,1.04299,0.71749,0.75527,0.72914,0.31513,1.75242,1.25433,1.05233,0.0018086,0.0018086,0.0018086
31,1291.87,1.75805,1.03656,1.05808,0.82614,0.71308,0.80727,0.35454,1.77958,1.05878,1.0464,0.001802,0.001802,0.001802
32,1324.77,1.74015,1.03285,1.08574,0.77528,0.827,0.82527,0.35183,1.72162,0.98766,1.05179,0.0017954,0.0017954,0.0017954
33,1357.7,1.81325,1.05074,1.07259,0.78582,0.78953,0.78877,0.3444,1.7186,1.1659,1.03745,0.0017888,0.0017888,0.0017888
34,1389.4,1.74275,1.01138,1.06458,0.78245,0.77397,0.7742,0.34089,1.79337,1.22452,1.04622,0.0017822,0.0017822,0.0017822
35,1417.32,1.75903,1.01147,1.05947,0.77257,0.74533,0.78059,0.35222,1.7757,1.20823,1.0644,0.0017756,0.0017756,0.0017756
36,1445.31,1.78323,1.04276,1.04708,0.78637,0.79747,0.80334,0.34936,1.77143,1.00219,1.04435,0.001769,0.001769,0.001769
37,1473.18,1.69878,0.99204,1.04662,0.81262,0.78903,0.80786,0.3674,1.70976,1.01899,1.04706,0.0017624,0.0017624,0.0017624
38,1501.32,1.7223,1.00376,1.04802,0.83244,0.75463,0.79512,0.36311,1.70585,1.0765,1.0335,0.0017558,0.0017558,0.0017558
