epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04213,5.53338,37.8791,2.58376,0,0,0,0,5.87126,35.5658,2.15706,0.00018,0.00018,0.00018
2,7.44765,5.08827,22.4092,2.2104,0,0,0,0,4.41628,18.4202,1.52497,0.000378746,0.000378746,0.000378746
3,10.8684,4.38156,12.0401,1.62823,0,0,0,0,4.44794,18.5701,1.50392,0.000576172,0.000576172,0.000576172
4,14.2883,3.44248,7.7776,1.26772,2e-05,0.00422,1e-05,0,4.78694,20.9565,1.65148,0.000772278,0.000772278,0.000772278
5,17.6905,3.06208,5.06641,1.16464,2e-05,0.00422,1e-05,0,5.27737,23.8362,1.95514,0.000967064,0.000967064,0.000967064
6,21.0783,2.87269,4.17755,1.10247,2e-05,0.00422,1e-05,0,5.39293,20.166,2.02882,0.00116053,0.00116053,0.00116053
7,24.486,2.65742,3.53149,1.06031,2e-05,0.00422,1e-05,0,4.79151,18.7517,1.78782,0.00135268,0.00135268,0.00135268
8,27.8573,2.67346,3.17822,1.02403,2e-05,0.00422,1e-05,0,4.29643,15.1837,1.57581,0.0015435,0.0015435,0.0015435
9,31.3042,2.57833,2.84969,1.0364,2e-05,0.00422,1e-05,0,3.74893,7.68754,1.36272,0.00173301,0.00173301,0.00173301
10,34.72,2.42763,2.57743,1.01532,0.00042,0.08439,0.00523,0.00209,3.06329,4.99756,1.14937,0.00192119,0.00192119,0.00192119
11,38.1188,2.40172,2.30735,1.00276,0.00208,0.42194,0.20327,0.07101,2.4955,4.11824,1.02188,0.001934,0.001934,0.001934
12,41.4925,2.42082,2.12023,0.98801,0.84507,0.18413,0.39029,0.14457,2.37736,3.27649,0.98276,0.0019274,0.0019274,0.0019274
13,44.7923,2.36972,1.90588,0.9709,0.76634,0.4982,0.55293,0.19818,2.29072,1.93591,0.96703,0.0019208,0.0019208,0.0019208
14,48.1395,2.30259,1.7353,0.97533,0.85622,0.5528,0.62979,0.19671,2.44746,1.82328,0.97916,0.0019142,0.0019142,0.0019142
15,51.452,2.22804,1.6018,0.96565,0.74464,0.61181,0.63458,0.21361,2.21639,1.29175,0.94382,0.0019076,0.0019076,0.0019076
16,54.747,2.23528,1.54818,0.95032,0.72965,0.59916,0.61083,0.21692,2.26679,1.22845,0.94443,0.001901,0.001901,0.001901
17,58.049,2.1822,1.50295,0.97378,0.65719,0.50633,0.54844,0.20938,2.19853,2.18882,0.93547,0.0018944,0.0018944,0.0018944
18,61.3315,2.20304,1.47341,0.96146,0.77762,0.57544,0.62837,0.23729,2.08615,1.21577,0.92331,0.0018878,0.0018878,0.0018878
19,64.5986,2.17074,1.35048,0.94574,0.72651,0.61648,0.66358,0.24969,2.09625,1.16509,0.93336,0.0018812,0.0018812,0.0018812
20,67.8979,2.15149,1.35243,0.93019,0.72641,0.60338,0.6666,0.25244,2.08492,1.16957,0.92029,0.0018746,0.0018746,0.0018746
21,71.2252,2.12752,1.34558,0.94515,0.71234,0.65827,0.68041,0.2871,1.95478,1.11809,0.90942,0.001868,0.001868,0.001868
22,74.5092,2.16122,1.34427,0.94175,0.72382,0.62447,0.63758,0.23751,2.03861,1.1877,0.92578,0.0018614,0.0018614,0.0018614
23,77.7526,2.04074,1.29145,0.93524,0.72611,0.61603,0.64048,0.2713,2.01849,1.12245,0.99241,0.0018548,0.0018548,0.0018548
24,81.0141,2.04986,1.23527,0.92636,0.68816,0.61455,0.63647,0.25629,2.01757,1.49714,0.91585,0.0018482,0.0018482,0.0018482
25,84.299,2.07588,1.26359,0.93921,0.71237,0.60759,0.65122,0.27015,1.98781,1.41981,0.9054,0.0018416,0.0018416,0.0018416
26,87.5506,2.06106,1.22772,0.93467,0.72786,0.63713,0.68695,0.27748,1.97785,1.13815,0.90685,0.001835,0.001835,0.001835
27,90.8183,2.0407,1.21606,0.93161,0.73454,0.63046,0.64584,0.23917,1.98295,1.23009,0.91005,0.0018284,0.0018284,0.0018284
28,94.1393,2.015,1.21097,0.92885,0.67909,0.66965,0.66069,0.27569,1.91177,1.51434,0.90612,0.0018218,0.0018218,0.0018218
29,97.4214,1.92694,1.17412,0.92409,0.64506,0.55274,0.59024,0.23363,1.96295,1.47338,0.9078,0.0018152,0.0018152,0.0018152
30,100.756,2.05896,1.1959,0.91163,0.67958,0.57384,0.60705,0.25177,1.96504,2.24497,0.91057,0.0018086,0.0018086,0.0018086
31,104.065,1.97097,1.14506,0.916,0.74455,0.62025,0.67107,0.28735,1.88541,1.29336,0.89444,0.001802,0.001802,0.001802
32,107.372,1.95377,1.13572,0.92503,0.68498,0.62387,0.66053,0.2703,1.88945,1.50302,0.88872,0.0017954,0.0017954,0.0017954
33,110.639,1.98588,1.148,0.92466,0.79175,0.5654,0.67465,0.28077,2.00743,1.15553,0.911,0.0017888,0.0017888,0.0017888
34,113.878,2.02834,1.13584,0.92718,0.71258,0.64859,0.66433,0.24669,2.04049,1.09225,0.90448,0.0017822,0.0017822,0.0017822
35,117.214,1.96085,1.08689,0.92413,0.74155,0.59494,0.66195,0.25832,1.9486,1.51118,0.90178,0.0017756,0.0017756,0.0017756
36,120.489,1.91837,1.06762,0.90128,0.76879,0.62869,0.70121,0.27446,1.9088,1.17857,0.90278,0.001769,0.001769,0.001769
37,123.771,1.91058,1.09954,0.9018,0.77784,0.63713,0.71361,0.27429,2.02398,1.07071,0.91448,0.0017624,0.0017624,0.0017624
38,127.027,1.87824,1.04221,0.90759,0.71211,0.65823,0.72173,0.28788,1.91179,1.08306,0.89866,0.0017558,0.0017558,0.0017558
39,130.354,1.86591,1.0844,0.89724,0.69503,0.67313,0.70104,0.27683,1.97399,1.19023,0.90287,0.0017492,0.0017492,0.0017492
40,133.625,1.86107,1.05105,0.90613,0.77564,0.62025,0.68768,0.27524,1.94666,1.08188,0.90715,0.0017426,0.0017426,0.0017426
41,136.915,1.89237,1.08411,0.92165,0.77186,0.65667,0.70839,0.27914,1.96135,1.10074,0.91104,0.001736,0.001736,0.001736
42,140.159,1.87351,1.06626,0.91079,0.74532,0.60759,0.65783,0.28481,1.92893,1.24933,0.91433,0.0017294,0.0017294,0.0017294
43,143.413,1.83987,1.0556,0.8996,0.7147,0.60338,0.64006,0.27372,1.89376,1.6492,0.91132,0.0017228,0.0017228,0.0017228
