epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2643,5.93937,89.0947,3.91404,0,0,0,0,5.0176,67.3806,3.34239,0.00042,0.00042,0.00042
2,45.9707,4.41885,23.8005,3.55962,0,0,0,0,3.18794,40.3398,2.4855,0.000857162,0.000857162,0.000857162
3,69.0072,3.45626,9.78183,2.46568,0.00059,0.21667,0.00073,0.00018,nan,nan,nan,0.00129142,0.00129142,0.00129142
4,91.9482,3.09964,5.45705,1.9404,0.03682,0.16111,0.01152,0.00391,nan,nan,nan,0.00172277,0.00172277,0.00172277
5,114.813,2.9368,4.73785,1.78868,0.33963,0.41111,0.22309,0.05146,3.20283,12.648,2.11351,0.0019736,0.0019736,0.0019736
6,137.845,2.86726,4.20593,1.67316,0.23532,0.36111,0.15566,0.04269,2.70922,14.8762,1.70254,0.001967,0.001967,0.001967
7,160.4,2.72833,3.6903,1.5788,0.2834,0.48337,0.23248,0.0711,2.57039,nan,1.62576,0.0019604,0.0019604,0.0019604
8,183.32,2.72454,3.34837,1.5672,0.35388,0.51667,0.28649,0.08637,2.67368,6.77781,1.57845,0.0019538,0.0019538,0.0019538
9,206.338,2.62485,3.13178,1.5248,0.3157,0.38889,0.21056,0.06273,2.68675,nan,1.57345,0.0019472,0.0019472,0.0019472
10,229.093,2.57154,2.81166,1.49981,0.3488,0.42778,0.26836,0.08705,2.57964,4.66965,1.44749,0.0019406,0.0019406,0.0019406
11,251.945,2.51166,2.7461,1.51019,0.35416,0.40214,0.28752,0.08797,2.80212,5.39008,1.5559,0.001934,0.001934,0.001934
12,274.909,2.53785,2.67638,1.49437,0.33392,0.46111,0.29626,0.10909,2.42665,8.15818,1.41018,0.0019274,0.0019274,0.0019274
13,297.82,2.50087,2.56459,1.49683,0.24022,0.47954,0.19717,0.06337,2.27097,15.7744,1.35987,0.0019208,0.0019208,0.0019208
14,320.728,2.43913,2.43888,1.44762,0.40091,0.49444,0.36336,0.11512,2.49945,nan,1.45345,0.0019142,0.0019142,0.0019142
15,343.859,2.4175,2.35207,1.38277,0.29437,0.50293,0.28214,0.09026,2.48274,2.34555,1.44106,0.0019076,0.0019076,0.0019076
16,366.461,2.40052,2.25499,1.43152,0.31616,0.48801,0.29957,0.08168,2.73698,2.72893,1.48567,0.001901,0.001901,0.001901
17,389.313,2.37787,2.18832,1.39168,0.32425,0.48333,0.30692,0.10407,2.67895,2.33113,1.43479,0.0018944,0.0018944,0.0018944
18,412.239,2.39219,2.22646,1.38753,0.38008,0.52455,0.34431,0.11181,2.44004,3.14057,1.3891,0.0018878,0.0018878,0.0018878
19,434.883,2.33419,2.16035,1.37343,0.40957,0.49328,0.40156,0.12391,2.35967,3.34155,1.3589,0.0018812,0.0018812,0.0018812
20,458.045,2.29537,2.04859,1.38619,0.42876,0.52222,0.42975,0.15246,2.33919,2.86856,1.36317,0.0018746,0.0018746,0.0018746
21,481.158,2.35904,2.08306,1.3673,0.29209,0.5,0.26376,0.0811,2.70678,4.46795,1.4383,0.001868,0.001868,0.001868
22,503.823,2.26592,1.94041,1.37495,0.27103,0.5,0.25408,0.08461,2.49444,3.99694,1.38198,0.0018614,0.0018614,0.0018614
23,526.807,2.28465,1.90778,1.35504,0.00139,0.08333,0.00034,0.00012,nan,nan,nan,0.0018548,0.0018548,0.0018548
24,549.67,2.27363,2.01602,1.32799,0.33713,0.47778,0.3326,0.10138,2.49976,nan,1.49904,0.0018482,0.0018482,0.0018482
25,572.223,2.31215,2.00752,1.35339,0.41888,0.40045,0.33062,0.08759,2.92401,nan,1.63355,0.0018416,0.0018416,0.0018416
26,595.049,2.39607,1.9999,1.40683,0.35583,0.52477,0.33659,0.11132,2.39128,6.07667,1.38028,0.001835,0.001835,0.001835
27,617.851,2.26365,1.88756,1.34711,0.2982,0.59444,0.33224,0.09509,2.47767,nan,1.41938,0.0018284,0.0018284,0.0018284
28,640.512,2.21708,1.86451,1.32068,0.37844,0.65,0.39124,0.1251,2.30361,nan,1.32869,0.0018218,0.0018218,0.0018218
29,663.336,2.19811,1.77715,1.31374,0.33802,0.61276,0.35359,0.12804,2.25626,2.45749,1.3374,0.0018152,0.0018152,0.0018152
30,686.206,2.26382,1.90883,1.31568,0.41403,0.57778,0.41325,0.15256,2.30318,3.33793,1.40509,0.0018086,0.0018086,0.0018086
31,708.769,2.19252,1.77112,1.35842,0.36194,0.51667,0.32691,0.09517,2.31151,2.27735,1.31853,0.001802,0.001802,0.001802
32,731.541,2.16911,1.80929,1.28638,0.4748,0.53333,0.48967,0.17154,2.17287,2.47377,1.32677,0.0017954,0.0017954,0.0017954
33,754.428,2.18328,1.76448,1.25415,0.34702,0.64444,0.33408,0.09115,2.28454,1.95952,1.31127,0.0017888,0.0017888,0.0017888
34,776.938,2.21766,1.87077,1.29639,0.40927,0.55,0.40775,0.1288,2.31772,1.89678,1.34932,0.0017822,0.0017822,0.0017822
35,799.869,2.15728,1.82155,1.26109,0.54852,0.61667,0.51446,0.15981,2.39099,2.76258,1.34054,0.0017756,0.0017756,0.0017756
36,822.798,2.17298,1.76008,1.26598,0.48761,0.65556,0.51682,0.17185,2.26309,2.89175,1.31619,0.001769,0.001769,0.001769
37,845.924,2.18715,1.80876,1.30126,0.52735,0.52689,0.4587,0.15958,2.31812,2.52195,1.29319,0.0017624,0.0017624,0.0017624
38,868.862,2.13465,1.71466,1.28485,0.42634,0.68889,0.4086,0.11878,2.28607,2.18455,1.2833,0.0017558,0.0017558,0.0017558
39,891.788,2.0694,1.65906,1.2616,0.61827,0.6,0.55102,0.19205,2.21421,nan,1.26938,0.0017492,0.0017492,0.0017492
40,914.656,2.09895,1.79756,1.27196,0.28754,0.57778,0.3226,0.10649,2.33169,10.6048,1.32604,0.0017426,0.0017426,0.0017426
41,937.495,2.09844,1.73065,1.28322,0.40505,0.57222,0.41474,0.13108,2.44126,3.85311,1.34801,0.001736,0.001736,0.001736
42,960.297,2.10058,1.69546,1.23737,0.30571,0.61667,0.31484,0.08687,2.53724,3.16323,1.38169,0.0017294,0.0017294,0.0017294
43,982.908,2.15771,1.71703,1.28994,0.27166,0.66667,0.28878,0.09111,2.31073,3.02573,1.31876,0.0017228,0.0017228,0.0017228
44,1005.79,2.214,1.74541,1.30164,0.38617,0.61667,0.48681,0.17492,2.11044,2.18539,1.23736,0.0017162,0.0017162,0.0017162
45,1028.69,2.14362,1.72934,1.26749,0.46153,0.59998,0.48072,0.17394,2.26736,2.23701,1.31051,0.0017096,0.0017096,0.0017096
46,1051.3,2.14652,1.68815,1.26756,0.38936,0.65556,0.3973,0.12643,2.25761,2.53132,1.25165,0.001703,0.001703,0.001703
47,1074.27,2.06195,1.64404,1.23567,0.40435,0.69444,0.49452,0.15171,2.06845,3.62403,1.28138,0.0016964,0.0016964,0.0016964
48,1096.92,2.10319,1.66184,1.29155,0.38544,0.68292,0.35632,0.11823,2.20402,2.37609,1.26878,0.0016898,0.0016898,0.0016898
49,1119.54,2.06131,1.62339,1.22713,0.48821,0.68889,0.52869,0.18739,2.14648,1.75844,1.2418,0.0016832,0.0016832,0.0016832
50,1142.33,2.0455,1.65969,1.23363,0.5344,0.63889,0.52716,0.18945,2.01138,2.66097,1.21851,0.0016766,0.0016766,0.0016766
51,1165.17,2.13145,1.73453,1.26078,0.41036,0.58383,0.39843,0.13155,2.44812,7.38741,1.3555,0.00167,0.00167,0.00167
52,1187.88,2.06739,1.66115,1.26476,0.33076,0.59584,0.32927,0.10541,2.47912,3.92363,1.34096,0.0016634,0.0016634,0.0016634
53,1210.66,2.02745,1.6706,1.25989,0.39314,0.68889,0.36301,0.11693,2.36442,2.30786,1.30386,0.0016568,0.0016568,0.0016568
54,1233.46,2.03583,1.6668,1.22998,0.49818,0.6,0.47944,0.14884,2.376,1.92888,1.29688,0.0016502,0.0016502,0.0016502
55,1256.12,2.01248,1.64689,1.2293,0.38944,0.67778,0.42445,0.15702,2.16241,1.58237,1.22985,0.0016436,0.0016436,0.0016436
56,1279,2.07709,1.6515,1.22317,0.40944,0.62222,0.45685,0.16333,2.29226,1.68674,1.23484,0.001637,0.001637,0.001637
57,1301.89,1.98463,1.56708,1.21152,0.43844,0.57222,0.47468,0.15778,2.22861,1.85734,1.25298,0.0016304,0.0016304,0.0016304
58,1324.49,1.98658,1.58744,1.23891,0.45787,0.63333,0.50878,0.17905,2.19765,2.61593,1.24632,0.0016238,0.0016238,0.0016238
59,1347.16,2.00094,1.60326,1.18559,0.35555,0.71667,0.34368,0.11937,2.08239,2.48865,1.224,0.0016172,0.0016172,0.0016172
60,1369.76,2.01285,1.65718,1.24069,0.378,0.61109,0.40198,0.1321,2.21639,4.42627,1.26261,0.0016106,0.0016106,0.0016106
61,1392.61,1.99697,1.57341,1.20272,0.51886,0.67101,0.52354,0.19023,2.11043,2.78626,1.24813,0.001604,0.001604,0.001604
62,1415.48,1.9723,1.62966,1.24343,0.47434,0.60556,0.46865,0.1567,2.26447,3.52878,1.25074,0.0015974,0.0015974,0.0015974
63,1438.33,1.95367,1.58451,1.22159,0.6703,0.62222,0.60833,0.20166,2.26201,2.05901,1.24959,0.0015908,0.0015908,0.0015908
64,1461.34,2.0731,1.57429,1.23285,0.50537,0.59444,0.50421,0.17978,2.13279,1.91846,1.20598,0.0015842,0.0015842,0.0015842
65,1484.26,1.97121,1.58545,1.2417,0.39417,0.75907,0.45124,0.15727,2.07707,2.02974,1.22227,0.0015776,0.0015776,0.0015776
66,1507.22,1.98387,1.58779,1.20464,0.3718,0.62778,0.40789,0.15801,2.17706,3.59807,1.22391,0.001571,0.001571,0.001571
67,1529.95,1.96298,1.59586,1.18868,0.38415,0.73121,0.42878,0.13807,2.20594,3.86087,1.26309,0.0015644,0.0015644,0.0015644
68,1552.77,1.9425,1.55802,1.18859,0.36298,0.72222,0.37055,0.12192,2.32234,2.81526,1.23949,0.0015578,0.0015578,0.0015578
69,1575.47,2.03544,1.68124,1.24106,0.38803,0.76111,0.40061,0.13161,2.26358,2.16073,1.29949,0.0015512,0.0015512,0.0015512
70,1598.15,2.02816,1.63361,1.21603,0.47837,0.64444,0.48852,0.16417,2.29694,2.15456,1.23696,0.0015446,0.0015446,0.0015446
71,1621,1.96564,1.58076,1.19863,0.55108,0.61667,0.53608,0.15986,2.3218,2.36562,1.24596,0.001538,0.001538,0.001538
72,1643.78,1.96517,1.62683,1.19219,0.31123,0.65,0.31985,0.11179,2.27266,4.43649,1.23742,0.0015314,0.0015314,0.0015314
73,1666.42,1.96896,1.61879,1.18489,0.47178,0.61111,0.48039,0.1554,2.36557,2.45747,1.27317,0.0015248,0.0015248,0.0015248
74,1689.22,1.98422,1.57309,1.21126,0.38717,0.61773,0.43876,0.15455,2.29097,3.10965,1.253,0.0015182,0.0015182,0.0015182
75,1711.87,1.95365,1.5516,1.2155,0.35169,0.70556,0.39262,0.12683,2.24324,2.33451,1.29511,0.0015116,0.0015116,0.0015116
76,1734.63,1.94644,1.52439,1.16368,0.48904,0.58333,0.52763,0.19434,2.24232,3.26778,1.24826,0.001505,0.001505,0.001505
77,1757.55,1.93983,1.56437,1.217,0.50549,0.61667,0.52354,0.17982,2.15047,6.07093,1.21334,0.0014984,0.0014984,0.0014984
78,1780.42,1.98165,1.59114,1.23331,0.53564,0.58333,0.57571,0.20758,2.1541,2.37417,1.22261,0.0014918,0.0014918,0.0014918
79,1803.25,1.98148,1.57969,1.22661,0.55595,0.65382,0.53872,0.19639,2.2197,2.1229,1.24002,0.0014852,0.0014852,0.0014852
80,1826.02,1.88712,1.48637,1.18392,0.5427,0.61111,0.5482,0.19875,2.09427,1.49868,1.19785,0.0014786,0.0014786,0.0014786
81,1848.85,1.9184,1.57836,1.20612,0.4443,0.68889,0.46445,0.15102,2.22291,2.07184,1.20753,0.001472,0.001472,0.001472
82,1871.48,1.96428,1.54876,1.20015,0.42475,0.68914,0.46935,0.13648,2.47286,2.87563,1.27301,0.0014654,0.0014654,0.0014654
83,1894.28,1.93218,1.53078,1.19322,0.62846,0.63902,0.61207,0.22365,2.17699,4.45841,1.19758,0.0014588,0.0014588,0.0014588
84,1917.41,1.902,1.56462,1.19838,0.45205,0.64625,0.46728,0.16318,2.29824,3.20691,1.25603,0.0014522,0.0014522,0.0014522
85,1939.89,1.87941,1.4982,1.17761,0.44207,0.67349,0.5058,0.1718,2.24887,1.8864,1.25965,0.0014456,0.0014456,0.0014456
86,1962.69,1.85429,1.52592,1.15395,0.4515,0.66667,0.5204,0.17167,2.24889,2.27447,1.23474,0.001439,0.001439,0.001439
87,1985.52,1.90848,1.52895,1.1809,0.29642,0.66667,0.29046,0.10153,2.32631,3.80387,1.2675,0.0014324,0.0014324,0.0014324
88,2008.17,1.92107,1.54388,1.19517,0.40453,0.67222,0.44448,0.14833,2.17818,1.95601,1.19235,0.0014258,0.0014258,0.0014258
89,2031.08,1.91121,1.59638,1.18411,0.44842,0.62329,0.51044,0.19101,2.10466,2.47078,1.16846,0.0014192,0.0014192,0.0014192
90,2053.73,1.93635,1.5277,1.1716,0.49512,0.65556,0.51767,0.20392,2.15529,2.67034,1.18808,0.0014126,0.0014126,0.0014126
91,2076.48,1.82394,1.48954,1.1767,0.47374,0.66111,0.51972,0.20919,2.20607,1.9288,1.21262,0.001406,0.001406,0.001406
92,2099.43,1.87587,1.56002,1.19004,0.44978,0.63125,0.48885,0.17485,2.29248,1.80118,1.23775,0.0013994,0.0013994,0.0013994
93,2122.18,1.91131,1.54207,1.18794,0.34079,0.73889,0.35619,0.12065,2.24571,2.36213,1.23421,0.0013928,0.0013928,0.0013928
94,2145.04,1.92517,1.53396,1.18208,0.46382,0.63333,0.5284,0.19723,2.28449,2.6805,1.25052,0.0013862,0.0013862,0.0013862
95,2167.96,1.91054,1.51348,1.20657,0.40866,0.72778,0.48249,0.19365,2.0853,2.16038,1.16781,0.0013796,0.0013796,0.0013796
96,2190.89,1.8537,1.45401,1.14444,0.42511,0.68889,0.51867,0.18597,2.19779,2.77435,1.20386,0.001373,0.001373,0.001373
97,2213.61,1.87164,1.51826,1.16569,0.52097,0.51111,0.52349,0.19787,2.19225,4.13701,1.21199,0.0013664,0.0013664,0.0013664
98,2236.47,1.81734,1.47379,1.15822,0.35374,0.67205,0.3866,0.12406,2.23543,3.29694,1.19793,0.0013598,0.0013598,0.0013598
99,2259.28,1.87944,1.52007,1.1807,0.57132,0.62222,0.61192,0.24197,2.10532,2.61945,1.21237,0.0013532,0.0013532,0.0013532
100,2282.23,1.89116,1.4977,1.16003,0.37077,0.73889,0.4136,0.14912,2.15011,2.37453,1.23191,0.0013466,0.0013466,0.0013466
101,2305.07,1.84169,1.49387,1.21779,0.32382,0.7343,0.34695,0.1188,2.30313,2.89889,1.27052,0.00134,0.00134,0.00134
102,2327.85,1.86694,1.43836,1.13231,0.49932,0.68333,0.50817,0.18442,2.13304,1.82114,1.18876,0.0013334,0.0013334,0.0013334
103,2350.45,1.8465,1.42188,1.13739,0.40966,0.68889,0.4908,0.19067,2.12892,2.3564,1.21346,0.0013268,0.0013268,0.0013268
104,2373.24,1.80213,1.43218,1.15472,0.38431,0.75598,0.44345,0.15275,2.27192,2.13339,1.22847,0.0013202,0.0013202,0.0013202
105,2396.02,1.82839,1.39577,1.14814,0.48018,0.72222,0.53133,0.20243,2.11535,2.10543,1.16827,0.0013136,0.0013136,0.0013136
106,2418.78,1.87435,1.50754,1.18234,0.39244,0.70556,0.48293,0.17952,2.05032,4.01117,1.14761,0.001307,0.001307,0.001307
107,2441.61,1.88229,1.50724,1.1448,0.42351,0.67222,0.49457,0.18368,2.21773,3.4607,1.23487,0.0013004,0.0013004,0.0013004
108,2464.37,1.824,1.39239,1.15918,0.49905,0.66667,0.56138,0.21136,2.10969,1.87803,1.19993,0.0012938,0.0012938,0.0012938
109,2486.99,1.77123,1.4949,1.14555,0.35722,0.68543,0.44998,0.16247,2.08081,2.7697,1.16538,0.0012872,0.0012872,0.0012872
