epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1028,5.38535,52.7297,2.31614,0,0,0,0,3.99838,61.667,1.65047,0.00042,0.00042,0.00042
2,18.5049,4.56346,18.737,1.73776,0,0,0,0,3.90817,61.8769,1.5134,0.000857162,0.000857162,0.000857162
3,28.054,3.98809,12.111,1.5892,0,0,0,0,3.60838,54.387,1.34114,0.00129142,0.00129142,0.00129142
4,37.6756,3.40304,7.55242,1.30653,0,0,0,0,3.24733,48.2848,1.24376,0.00172277,0.00172277,0.00172277
5,46.3501,3.34769,6.20642,1.26222,0.00036,0.15556,0.03191,0.00816,2.7789,10.2316,1.08389,0.0019736,0.0019736,0.0019736
6,54.297,3.29596,5.25521,1.25541,0.31088,0.25,0.15036,0.03986,2.70672,10.6875,1.22017,0.001967,0.001967,0.001967
7,63.6775,3.17985,4.4183,1.22213,0.24741,0.22648,0.09262,0.017,2.77662,9.50843,1.45564,0.0019604,0.0019604,0.0019604
8,72.4865,3.04895,3.91289,1.15383,0.33375,0.35556,0.18887,0.0422,2.4764,7.38324,1.1713,0.0019538,0.0019538,0.0019538
9,80.4276,2.99573,3.47524,1.16279,0.22446,0.26667,0.11862,0.02334,2.64001,3.52712,1.28611,0.0019472,0.0019472,0.0019472
10,89.6942,2.94178,3.20406,1.15752,0.257,0.23333,0.11847,0.0267,2.76753,2.36225,1.06422,0.0019406,0.0019406,0.0019406
11,98.7148,2.90106,2.97349,1.15758,0.31532,0.38889,0.22406,0.0578,2.45667,6.99117,1.04356,0.001934,0.001934,0.001934
12,107.407,2.92267,2.98062,1.13868,0.42563,0.27778,0.20755,0.04194,2.52023,7.76093,1.34574,0.0019274,0.0019274,0.0019274
13,115.866,2.81655,2.6772,1.15664,0.44631,0.40751,0.331,0.08549,2.31274,5.13568,1.00694,0.0019208,0.0019208,0.0019208
14,124.189,2.79407,2.64543,1.14808,0.34853,0.38333,0.25751,0.06823,2.43334,2.4736,1.43415,0.0019142,0.0019142,0.0019142
15,133.389,2.83238,2.55128,1.1128,0.40389,0.42222,0.24334,0.05743,2.50728,2.50222,1.19184,0.0019076,0.0019076,0.0019076
16,142.226,2.75318,2.31789,1.11611,0.28615,0.31667,0.19665,0.04973,2.65626,3.00104,1.65424,0.001901,0.001901,0.001901
17,150.786,2.83489,2.40166,1.11336,0.27061,0.36667,0.18473,0.04021,2.34294,3.24766,1.16786,0.0018944,0.0018944,0.0018944
18,158.03,2.69996,2.31113,1.09702,0.43986,0.42222,0.31425,0.09977,2.33035,2.01554,0.99528,0.0018878,0.0018878,0.0018878
19,165.996,2.75689,2.2508,1.12631,0.45466,0.50556,0.39415,0.11172,2.11478,2.62884,0.94989,0.0018812,0.0018812,0.0018812
20,174.437,2.70655,2.18724,1.08856,0.2972,0.32222,0.21047,0.04765,2.44651,3.18539,1.01353,0.0018746,0.0018746,0.0018746
21,182.079,2.76525,2.20201,1.10251,0.40144,0.42477,0.25886,0.07622,2.2324,4.07886,0.96435,0.001868,0.001868,0.001868
22,189.508,2.56714,2.0312,1.06202,0.36874,0.39591,0.25304,0.06159,2.46177,7.75709,1.01165,0.0018614,0.0018614,0.0018614
23,198.024,2.61062,1.92818,1.07674,0.39436,0.45,0.34578,0.09656,2.14255,3.50672,0.96577,0.0018548,0.0018548,0.0018548
24,206.886,2.62887,2.08845,1.05229,0.36946,0.42778,0.33003,0.08548,2.18634,2.64656,0.98366,0.0018482,0.0018482,0.0018482
25,215.245,2.59909,2.0232,1.08302,0.37786,0.42778,0.30229,0.0795,2.32182,4.0892,1.0081,0.0018416,0.0018416,0.0018416
26,222.518,2.53622,1.89861,1.07982,0.43035,0.49444,0.35355,0.08751,2.23273,3.46146,0.95726,0.001835,0.001835,0.001835
27,231.472,2.48033,1.90226,1.06594,0.32713,0.39434,0.26482,0.0703,2.27794,3.89065,0.99545,0.0018284,0.0018284,0.0018284
28,239.673,2.53574,2.03672,1.05264,0.39387,0.44404,0.32754,0.10124,2.09364,2.54782,0.94461,0.0018218,0.0018218,0.0018218
29,248.313,2.54027,1.83846,1.06002,0.38237,0.43333,0.2797,0.08577,2.14786,5.12569,0.97649,0.0018152,0.0018152,0.0018152
30,257.409,2.59107,2.03141,1.06634,0.37934,0.35,0.24077,0.06249,2.33691,3.66275,1.02152,0.0018086,0.0018086,0.0018086
31,265.984,2.46301,1.87284,1.06721,0.47856,0.5,0.4119,0.13189,1.94863,3.8883,0.92173,0.001802,0.001802,0.001802
32,275.04,2.48639,1.83484,1.04872,0.37517,0.46667,0.33445,0.09154,2.01752,3.6476,0.90672,0.0017954,0.0017954,0.0017954
33,284.223,2.49786,1.87058,1.00725,0.39562,0.43889,0.3039,0.08719,2.03546,4.70019,0.93102,0.0017888,0.0017888,0.0017888
34,292.388,2.55566,1.93453,1.07024,0.48286,0.49444,0.40759,0.12539,2.06185,2.60869,0.94695,0.0017822,0.0017822,0.0017822
35,301.821,2.46702,1.86897,1.01443,0.44342,0.42778,0.35272,0.11493,2.1067,3.06959,0.93937,0.0017756,0.0017756,0.0017756
36,310.342,2.55586,1.83579,1.05147,0.45934,0.51111,0.39477,0.11676,2.18723,5.17211,0.9406,0.001769,0.001769,0.001769
37,319.538,2.43557,1.88382,1.06525,0.47031,0.45556,0.40779,0.14542,1.95207,4.46529,0.9137,0.0017624,0.0017624,0.0017624
38,329.078,2.37258,1.74557,1.02331,0.52569,0.52778,0.44595,0.11986,2.16447,2.0317,0.96874,0.0017558,0.0017558,0.0017558
39,337.963,2.38416,1.70125,1.05023,0.52093,0.49444,0.41556,0.1384,1.88235,3.40436,0.87882,0.0017492,0.0017492,0.0017492
40,346.384,2.48713,1.8885,1.04883,0.56646,0.53717,0.47994,0.13622,1.95842,4.92982,0.88822,0.0017426,0.0017426,0.0017426
41,355.383,2.35351,1.80589,1.04486,0.39734,0.51111,0.32492,0.0891,1.95686,3.11814,0.88144,0.001736,0.001736,0.001736
42,363.858,2.49786,1.77691,1.02011,0.47391,0.54549,0.37905,0.10114,2.13625,2.65982,0.92784,0.0017294,0.0017294,0.0017294
43,372.772,2.4642,1.81367,1.02477,0.56734,0.56111,0.485,0.15722,1.90429,5.01904,0.87536,0.0017228,0.0017228,0.0017228
44,381.119,2.46183,1.873,1.03695,0.40823,0.46667,0.34355,0.09805,1.99537,2.36015,0.90067,0.0017162,0.0017162,0.0017162
45,388.093,2.48578,1.82176,1.03612,0.477,0.47778,0.39575,0.11953,1.91813,4.92842,0.86917,0.0017096,0.0017096,0.0017096
